tg_id,pack_name,created_flag,front_word,back_word,date_of_repeat,repeat_length,is_hidden
875771161,Module 1,False,Keep fit ,быть в форме,2026-09-12,170.9951171875,0
875771161,Module 1,False,Annoying ,Раздражающий,2026-08-31,170.9951171875,0
875771161,Module 1,False,Awful ,ужасный,2026-08-30,170.9951171875,0
875771161,Module 1,False,Last forever ,длиться вечно,2026-06-08,74.88671875,0
875771161,Module 1,False,What is the matter? ,В чем дело?,2026-09-12,170.9951171875,0
875771161,Module 1,False,So-called ,так называемый,2026-08-31,170.9951171875,0
875771161,Module 1,False,Loyal ,верный,2026-08-30,170.9951171875,0
875771161,Module 1,False,Selfish ,Эгоистичный,2026-08-31,170.9951171875,0
875771161,Module 1,False,Admired ,Почитаемый,2026-08-30,170.9951171875,0
875771161,Module 1,False,Dedicated ,Преданный,2026-09-12,170.9951171875,0
875771161,Module 1,False,Mean ,Недоброжелательный,2026-08-30,170.9951171875,0
875771161,Module 1,False,Sympathetic ,сочувствующий,2026-08-30,170.9951171875,0
875771161,Module 1,False,Trusting ,доверчивый,2026-04-22,4.75,0
875771161,Module 1,False,Moody ,капризный/неуравновешенный,2026-08-30,170.9951171875,0
875771161,Module 1,False,Well-meaning ,действующий из лучших побуждений,2026-08-30,170.9951171875,0
875771161,Module 1,False,Expression ,выражение,2026-08-31,170.9951171875,0
875771161,Module 1,False,Lend ,Давать в долг,2026-08-31,170.9951171875,0
875771161,Module 1,False,Borrow ,брать взаймы,2026-09-12,170.9951171875,0
875771161,Module 1,False,A pain in the neck ,Невыносимый человек,2026-04-20,2.5,0
875771161,Module 1,False,Get off one's back ,отстать/оставить в покое,2026-09-12,170.9951171875,0
875771161,Module 1,False,Get on one's nerves ,действовать на нервы,2026-08-31,170.9951171875,0
875771161,Module 1,False,Give someone a cold shoulder ,оказывать холодный прием,2026-08-30,170.9951171875,0
875771161,Module 1,False,Like a bear with a sore head ,разъяренный,2026-08-31,170.9951171875,0
875771161,Module 1,False,See eye to eye ,сходиться во взглядах,2026-08-30,170.9951171875,0
875771161,Module 1,False,Reflect ,Отображать,2026-08-30,170.9951171875,0
875771161,Module 1,False,Polite ,Вежливый,2026-05-01,49.2578125,0
875771161,Module 1,False,fair ,справедливый,2026-09-12,170.9951171875,0
875771161,Module 1,False,hurt ,ранить/обижать,2026-08-31,170.9951171875,0
875771161,Module 1,False,jealous ,ревнивый,2026-07-05,113.330078125,0
875771161,Module 1,False,arrogant ,высокомерный,2026-03-27,1.0,0
875771161,Module 1,False,courage ,мужество,2026-05-20,32.171875,0
875771161,Module 1,False,fiction ,выдумка,2026-08-30,170.9951171875,0
875771161,Module 1,False,invitation ,приглашение,2026-07-17,113.330078125,0
875771161,Module 1,False,appearance ,внешность,2026-08-30,170.9951171875,0
875771161,Module 1,False,knit ,вязать,2026-09-12,170.9951171875,0
875771161,Module 1,False,plain ,простой,2026-04-22,4.75,0
875771161,Module 1,False,rapidly ,быстро,2026-08-31,170.9951171875,0
875771161,Module 1,False,rarely ,редко,2026-08-31,170.9951171875,0
